,ADDRTYPE,SDOT_COLCODE,WEATHER,ROADCOND,LIGHTCOND,SPEEDING,YEAR
18658,Intersection,11,Clear,Dry,Daylight,,2005
18660,Intersection,11,Clear,Dry,Dusk,,2005
18674,Intersection,11,Raining,Wet,Daylight,,2005
18675,Intersection,11,Raining,Wet,Daylight,,2005
18680,Intersection,11,Clear,Dry,Daylight,,2005
18686,Intersection,11,Overcast,Dry,Daylight,,2005
18687,Intersection,11,Raining,Wet,Dark - Street Lights On,,2005
18690,Intersection,11,Raining,Wet,Dark - Street Lights On,,2005
18691,Intersection,11,Clear,Wet,Daylight,,2005
18695,Block,11,Raining,Wet,Daylight,,2005
18702,Intersection,11,Raining,Wet,Dark - Street Lights On,,2005
18724,Intersection,11,Clear,Dry,Dusk,,2005
18725,Intersection,11,Raining,Wet,Dark - Street Lights On,Y,2005
18736,Intersection,11,Clear,Dry,Daylight,,2005
18738,Intersection,11,Raining,Wet,Daylight,,2005
18742,Intersection,11,Clear,Dry,Daylight,,2005
18746,Intersection,11,Raining,Wet,Daylight,,2005
18752,Intersection,11,Clear,Dry,Daylight,,2005
18754,Intersection,11,Overcast,Wet,Dark - Street Lights On,,2005
18755,Intersection,11,Clear,Dry,Daylight,,2005
18756,Intersection,11,Clear,Dry,Daylight,,2005
18757,Intersection,11,Clear,Dry,Daylight,,2005
18759,Intersection,11,Overcast,Wet,Dark - Street Lights On,,2005
18769,Intersection,11,Clear,Dry,Daylight,,2005
18774,Intersection,11,Clear,Dry,Daylight,,2005
18786,Intersection,11,Clear,Dry,Daylight,,2005
18797,Intersection,11,Snowing,Wet,Daylight,,2005
18818,Intersection,11,Clear,Dry,Daylight,,2005
18831,Intersection,11,Raining,Wet,Dark - Street Lights On,,2005
18833,Intersection,11,Overcast,Dry,Dark - Street Lights On,,2005
18834,Intersection,11,Raining,Wet,Daylight,,2005
18851,Block,11,Clear,Dry,Dawn,,2005
18854,Intersection,14,Overcast,Dry,Daylight,,2005
18857,Intersection,11,Clear,Dry,Dusk,,2005
18861,Intersection,11,Raining,Dry,Daylight,,2005
18873,Intersection,11,Clear,Dry,Daylight,,2005
18882,Intersection,11,Raining,Wet,Dark - Street Lights On,,2005
18883,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
18885,Intersection,11,Clear,Dry,Daylight,,2005
18887,Intersection,11,Overcast,Wet,Daylight,,2005
18892,Block,11,Clear,Dry,Daylight,,2005
18902,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
18906,Intersection,11,Raining,Wet,Daylight,,2005
18912,Intersection,11,Raining,Wet,Dark - Street Lights On,,2005
18914,Intersection,11,Raining,Wet,Dark - Street Lights On,,2005
18920,Intersection,11,Clear,Dry,Daylight,,2005
18930,Intersection,11,Overcast,Dry,Daylight,,2005
18935,Intersection,11,Raining,Wet,Daylight,,2005
18936,Block,11,Clear,Dry,Daylight,,2005
18938,Intersection,11,Raining,Wet,Dark - Street Lights Off,,2005
18950,Intersection,11,Overcast,Dry,Daylight,,2005
18954,Intersection,11,Overcast,Dry,Dark - Street Lights On,,2005
18958,Intersection,11,Raining,Wet,Dark - Street Lights On,,2005
18959,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
18960,Intersection,11,Clear,Dry,Daylight,,2005
18963,Intersection,11,Raining,Wet,Dark - Street Lights On,,2005
18967,Intersection,11,Raining,Wet,Daylight,,2005
18974,Block,14,Clear,Dry,Daylight,,2005
18980,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
18981,Intersection,11,Clear,Dry,Daylight,,2005
18988,Intersection,11,Clear,Dry,Daylight,,2005
18990,Intersection,11,Clear,Dry,Daylight,,2005
18991,Intersection,11,Overcast,Dry,Daylight,,2005
18997,Intersection,11,Raining,Wet,Dark - Street Lights On,,2005
19000,Intersection,11,Clear,Dry,Daylight,,2005
19008,Intersection,11,Overcast,Dry,Daylight,,2005
19011,Intersection,11,Clear,Dry,Daylight,,2005
19015,Intersection,11,Raining,Wet,Daylight,,2005
19022,Intersection,11,Raining,Wet,Dark - Street Lights On,,2005
19036,Intersection,11,Raining,Wet,Dark - Street Lights On,,2005
19053,Intersection,11,Clear,Dry,Daylight,,2005
19065,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
19082,Intersection,11,Clear,Dry,Daylight,,2005
